№;Вид;Сторона квадрата;Сталь;Цена, руб/тн
1.;Легированная сталь;20;ст. 40Х;27790
2.;Легированная сталь;50;ст. 40Х;27790
3.;Легированная сталь;230;ст. 40Х;43290
4.;Легированная сталь;200;ст. 30ХГСА;41190
5.;Легированная сталь;30;ст. 09Г2С;35990
6.;Легированная сталь;40;ст. 09Г2С;34990
7.;Легированная сталь;50;ст. 09Г2С;55590
8.;Легированная сталь;60;ст. 09Г2С;55590
9.;Легированная сталь;70;ст. 09Г2С;55590
10.;Легированная сталь;80;ст. 09Г2С;46390
11.;Легированная сталь;90;ст. 09Г2С;55590
12.;Легированная сталь;38;ст. 20Х;32990
13.;Легированная сталь;150;ст. 42Х1МФА;35990
